AP 2D Art and Design,AP Computer Science Principles,AP Music Theory,AP Physics 1,Art Design,C-Humanities,CSL,Chinese Culture,Drama I,English I,IGCSE Biology (Accelerated),IGCSE Combined Science (Year 1),IGCSE Economics (Year 1),IGCSE English Literature (Year 1),IGCSE History (Year 1),IGCSE Math (Accelerated),IGCSE Math (Year 1),IT (Year 1),IT (Year 2),Music,PE,Spanish I,Spanish II,World History I
N,N,N,N,A+,B,N,A+,N,D-,C,N,N,N,N,N,C,B,N,N,A,N,A+,D+
N,N,N,N,N,A-,N,A+,N,A-,N,A-,N,N,B,A,N,B+,N,A,A,N,N,N
A+,N,N,N,N,A-,N,A+,A-,N,B+,N,B+,A-,N,N,A-,B+,N,A+,A+,N,N,N
N,N,N,N,A+,A,N,A+,N,N,A+,N,N,A,N,A-,N,A+,N,N,A+,N,N,A
N,N,N,N,N,A-,N,A,N,N,N,A-,N,C-,A,N,B+,A,N,A,A,N,N,N
N,N,N,N,N,A,N,A+,N,A+,N,A,B+,N,N,N,A,A+,N,A+,A+,N,N,N
N,A+,N,A-,A+,A,N,A+,N,N,N,N,A,A+,N,A+,N,N,N,N,A+,N,N,N
N,N,N,B+,N,A-,N,A+,N,N,N,N,B+,B+,N,A,N,A+,N,N,A,N,N,N
A+,N,N,N,A,B,N,A+,N,N,N,A+,N,A,N,A+,N,A,N,N,A+,N,N,B+
N,N,N,N,N,F,N,A-,N,C,N,B-,C-,N,N,N,D+,N,N,A+,A,N,N,N
N,N,N,N,A+,B+,N,A,N,N,A,N,B+,B,N,B+,N,N,N,N,A+,N,N,N
N,N,N,N,A+,A,N,A+,N,N,A+,N,N,A+,N,A+,N,A,N,N,A+,N,N,A
N,N,N,A-,N,A,N,A+,N,N,N,N,N,A,N,A+,N,N,N,N,A+,N,A+,A+
N,N,N,N,A+,A-,N,A+,C+,N,A,N,B+,B,N,A-,N,B+,N,N,A+,N,N,N
N,N,N,N,N,A-,N,A+,N,N,N,A,N,A-,A,A+,N,N,N,A,A+,N,N,N
A,N,N,N,A,A,N,A,N,B,N,B,N,N,N,N,B,A-,N,N,A-,N,N,B
A,N,N,N,A,A,N,A+,N,B,N,B,B-,N,N,N,B,B+,N,N,A,N,N,N
N,N,N,N,A,B-,N,A,N,C+,N,A-,B,N,N,A,N,N,N,A,A,N,N,N
N,A+,N,A,A+,A+,N,A+,N,N,N,N,A+,A+,N,A+,N,N,N,N,A+,N,N,N
N,A+,N,A,A+,A-,N,A+,N,N,N,N,A-,A-,N,A+,N,N,N,N,A+,N,N,N
N,N,N,N,N,B+,N,A,N,N,N,B,C,B,N,N,B,B+,N,A+,A+,N,N,N
N,N,N,N,N,A,N,A+,N,N,N,A-,B,B+,N,N,A,N,N,N,B,N,A+,N
N,N,N,N,A+,B,N,A,N,N,A-,N,N,B,B+,A-,N,N,N,N,A+,N,N,N
N,N,N,A,A,A,N,A,A+,N,N,N,A,A+,N,A,N,A,N,N,A,N,N,N
N,A+,N,A+,A+,A+,N,A,N,N,N,N,A,A,N,A+,N,N,N,N,A+,N,N,N
N,N,N,N,B+,B-,N,A+,N,N,N,B-,N,A-,N,N,C+,A-,N,N,B,N,N,B-
N,N,N,N,A+,A,N,A+,N,N,N,A-,N,B+,N,B+,N,N,N,N,B,N,A+,B+
N,A+,N,B+,N,A,N,A+,N,N,N,N,B,B+,N,A-,N,N,N,A+,A-,N,N,N
N,N,N,B,N,B,N,A+,N,N,N,N,B+,C-,N,A+,N,N,N,A+,A+,N,N,N
N,N,N,N,N,A-,N,A,N,N,N,A+,N,C+,B+,N,A,A,N,A-,A,N,N,N
N,N,N,N,A+,A-,N,A,N,N,N,A,N,A,A,A,N,N,A+,N,A,N,N,N
N,N,N,N,A,A,N,A+,N,B+,N,A,C,N,N,N,A-,A,N,N,A-,N,A+,N
N,N,N,N,N,B-,N,A,N,C,B-,N,N,N,N,N,A-,B+,N,A+,A+,N,N,C-
N,A,N,N,A-,A-,N,A,N,N,N,N,B,B,N,A,N,N,N,N,A,N,N,N
N,N,N,N,A+,A-,N,A+,N,B,N,A+,B,N,N,B+,N,A-,N,N,A+,N,N,N
N,N,N,N,N,B,N,A-,N,C+,N,A-,B,N,N,N,B,N,N,A-,A,N,N,N
N,N,N,A-,N,B+,N,A,N,N,N,N,B+,A+,N,A-,N,N,A+,A+,A+,N,A+,N
N,N,N,N,A+,B,N,A+,N,N,A-,N,B,A,N,N,A-,A-,N,N,A-,N,A+,N
N,N,N,N,N,B+,N,A+,N,N,N,A,N,B,N,N,A,A-,N,A,A+,N,N,A-
A,N,N,N,N,A-,N,A,N,N,N,A,C+,B+,N,A,N,B+,N,N,A,N,A+,N
N,N,N,N,A,B+,N,B+,N,B-,N,A,N,N,N,N,A-,N,N,A-,A,N,A,C-
N,N,N,N,N,B,N,A,N,B-,N,B,D-,N,N,A,N,B,N,A-,A+,N,N,N
N,N,N,A-,N,B+,N,A+,A,N,N,N,N,A+,A-,A+,N,A,N,N,A+,N,A+,N
N,N,N,N,A+,B+,N,A+,N,N,A+,N,A,A,N,B+,N,N,A+,N,A,N,N,N
N,N,N,N,B+,A-,N,A+,N,B-,N,B+,N,N,N,N,B+,A,N,N,A,N,N,C+
A+,N,N,N,A+,A+,N,A+,N,N,A+,N,N,A+,N,A+,N,A,N,N,A+,N,N,A+
N,N,N,N,A+,A-,N,A+,N,A,N,A,C+,N,N,N,B+,A+,N,N,A,N,A+,N
N,N,N,A,N,A,N,A+,N,N,N,N,A+,A+,N,A+,N,A+,N,N,A,N,N,N
N,N,N,N,A+,A-,N,A,N,N,A,N,B,B+,N,A,N,A,N,N,A,N,A+,N
N,N,N,N,A+,A-,N,A+,A-,N,N,A+,B,B,N,A-,N,A,N,A,A+,N,N,N
N,N,N,A-,N,A-,N,A+,N,N,N,N,A,A+,N,A,N,N,A+,N,A+,N,N,N
N,N,N,N,A+,B+,N,A+,N,C+,N,B-,N,N,N,N,B,N,N,N,A+,A+,N,C
N,N,A,A+,N,A-,N,A+,N,N,N,N,N,A+,N,A+,N,N,N,A+,A,N,N,A+
N,N,N,N,A+,N,A+,N,N,N,A+,N,A,A+,N,A+,N,N,A+,N,A+,N,N,N
N,N,N,N,N,N,A,N,N,N,N,B-,N,A-,N,N,A,N,N,A+,A,N,N,D
N,N,N,N,N,N,A,N,N,N,N,A-,N,C+,N,A-,N,B+,N,A+,A,N,N,B-
N,N,N,N,N,A-,N,A+,N,N,N,A,A-,A,N,A,N,B,N,A+,A+,N,N,N
N,N,N,N,A+,D,N,A-,B,C-,N,B,N,N,N,N,B,C+,N,N,B+,N,N,D
N,N,N,N,A+,B+,N,A+,B+,N,B+,N,B,B+,N,N,C+,B,N,N,A+,N,N,N
N,N,N,N,A+,A-,N,A+,B+,N,A,N,A-,B+,N,A-,N,A-,N,N,A+,N,N,N
N,N,N,N,A-,A,N,A+,N,A-,A,N,B+,N,N,N,A+,N,A-,N,A,N,N,N
N,N,N,N,A,B,N,B+,N,B-,B,N,N,N,N,B,N,B-,N,N,A,N,N,F
N,N,N,N,A+,B+,N,A+,N,N,A+,N,A,A,N,N,A-,A+,N,N,A-,N,N,N
N,N,N,B,N,N,A,N,N,N,N,N,B+,A-,N,A-,N,N,A+,A,A-,N,N,N
N,N,N,N,A+,A,N,A+,N,N,A,N,A-,B+,N,N,A,A+,N,A-,A,N,N,N
N,N,N,N,A,B+,N,A,N,N,A-,N,A-,A+,N,A-,N,N,A+,A+,A+,N,N,N
N,N,N,N,A,A,N,A+,N,A,N,A,N,N,N,N,A,A,N,N,A,N,N,A-
